,time,t2m,dep
833,2020-06-07,285.71686,04
834,2020-06-08,284.04288,04
835,2020-06-09,282.91043,04
836,2020-06-10,283.68332,04
837,2020-06-11,283.90967,04
838,2020-06-12,286.0594,04
839,2020-06-13,285.09653,04
840,2020-06-14,286.0503,04
841,2020-06-15,286.88055,04
842,2020-06-16,286.96423,04
843,2020-06-17,286.7078,04
844,2020-06-18,285.76715,04
845,2020-06-19,286.27774,04
846,2020-06-20,287.44043,04
847,2020-06-21,289.07675,04
848,2020-06-22,291.22302,04
849,2020-06-23,292.32065,04
850,2020-06-24,292.16766,04
851,2020-06-25,291.8697,04
852,2020-06-26,291.43985,04
853,2020-06-27,291.33844,04
854,2020-06-28,292.02158,04
855,2020-06-29,291.94632,04
856,2020-06-30,292.63934,04
857,2020-07-01,292.58807,04
858,2020-07-02,291.8704,04
859,2020-07-03,289.5625,04
860,2020-07-04,290.72107,04
861,2020-07-05,292.92844,04
862,2020-07-06,292.48825,04
863,2020-07-07,291.721,04
864,2020-07-08,292.3277,04
865,2020-07-09,293.43362,04
866,2020-07-10,293.04092,04
867,2020-07-11,292.50772,04
868,2020-07-12,291.51562,04
869,2020-07-13,291.46793,04
870,2020-07-14,289.8941,04
871,2020-07-15,289.41208,04
872,2020-07-16,289.93655,04
