,time,u10,dep
351,2020-06-15,1.8433884,02
352,2020-06-16,0.9202989,02
353,2020-06-17,0.65353805,02
354,2020-06-18,1.4641677,02
355,2020-06-19,2.3986907,02
356,2020-06-20,0.10130517,02
357,2020-06-21,2.3578448,02
358,2020-06-22,0.76781917,02
359,2020-06-23,-2.5480845,02
360,2020-06-24,-3.8779614,02
361,2020-06-25,-3.47032,02
362,2020-06-26,0.5305362,02
363,2020-06-27,3.3647752,02
364,2020-06-28,3.9756148,02
365,2020-06-29,4.1186023,02
366,2020-06-30,3.4567506,02
367,2020-07-01,3.3314962,02
368,2020-07-02,3.415789,02
369,2020-07-03,3.3184636,02
370,2020-07-04,3.8167887,02
371,2020-07-05,5.2130604,02
372,2020-07-06,4.423078,02
373,2020-07-07,2.1773665,02
374,2020-07-08,3.3188128,02
375,2020-07-09,3.20753,02
376,2020-07-10,2.8214188,02
377,2020-07-11,0.7452408,02
378,2020-07-12,-1.80915,02
379,2020-07-13,-0.088589534,02
380,2020-07-14,2.357548,02
381,2020-07-15,1.157744,02
382,2020-07-16,2.353288,02
383,2020-07-17,0.086469,02
384,2020-07-18,0.9321446,02
385,2020-07-19,1.4258741,02
386,2020-07-20,-1.1840606,02
387,2020-07-21,-1.547351,02
388,2020-07-22,-0.8226632,02
389,2020-07-23,0.5088822,02
390,2020-07-24,2.9110894,02
391,2020-07-25,2.4408166,02
392,2020-07-26,3.6091177,02
393,2020-07-27,1.8060943,02
394,2020-07-28,4.4143634,02
395,2020-07-29,1.1898539,02
396,2020-07-30,-1.9918704,02
397,2020-07-31,-1.1000577,02
398,2020-08-01,2.4940608,02
399,2020-08-02,2.8773208,02
400,2020-08-03,1.9827851,02
401,2020-08-04,0.7445382,02
402,2020-08-05,0.2407364,02
403,2020-08-06,-1.7439268,02
404,2020-08-07,-2.2113433,02
405,2020-08-08,-1.7589716,02
406,2020-08-09,-2.0854044,02
407,2020-08-10,-1.8561331,02
408,2020-08-11,-0.5791321,02
409,2020-08-12,-1.2162547,02
410,2020-08-13,0.75871336,02
411,2020-08-14,1.9647503,02
412,2020-08-15,0.24997623,02
413,2020-08-16,0.3243747,02
414,2020-08-17,2.0223887,02
415,2020-08-18,1.1879711,02
416,2020-08-19,-0.4635876,02
417,2020-08-20,-0.13549992,02
418,2020-08-21,2.6467688,02
419,2020-08-22,4.072251,02
420,2020-08-23,4.138596,02
421,2020-08-24,2.9667332,02
422,2020-08-25,2.0588553,02
423,2020-08-26,5.8933105,02
424,2020-08-27,1.4341241,02
425,2020-08-28,3.277081,02
426,2020-08-29,1.9899262,02
427,2020-08-30,1.298903,02
428,2020-08-31,0.5696372,02
429,2020-09-01,-1.214407,02
430,2020-09-02,0.19557275,02
431,2020-09-03,1.8652191,02
432,2020-09-04,1.912626,02
433,2020-09-05,2.3647342,02
434,2020-09-06,1.2211379,02
435,2020-09-07,0.89160657,02
436,2020-09-08,1.6189008,02
437,2020-09-09,1.9476107,02
438,2020-09-10,-1.5955329,02
439,2020-09-11,0.34165576,02
440,2020-09-12,1.7292708,02
441,2020-09-13,-0.7729718,02
442,2020-09-14,-1.9833082,02
443,2020-09-15,-0.42124197,02
444,2020-09-16,-1.0260233,02
445,2020-09-17,-3.214519,02
446,2020-09-18,-4.1104603,02
447,2020-09-19,-2.9042964,02
448,2020-09-20,-1.298079,02
449,2020-09-21,-0.6006767,02
450,2020-09-22,0.8153838,02
451,2020-09-23,2.2212186,02
452,2020-09-24,3.03692,02
453,2020-09-25,4.880696,02
454,2020-09-26,6.2488675,02
455,2020-09-27,1.685203,02
456,2020-09-28,1.9496224,02
457,2020-09-29,1.9494001,02
458,2020-09-30,0.11399773,02
459,2020-10-01,1.0134495,02
460,2020-10-02,-3.2309976,02
461,2020-10-03,-0.5996946,02
462,2020-10-04,2.4260993,02
463,2020-10-05,3.5688248,02
464,2020-10-06,4.780808,02
465,2020-10-07,4.178199,02
466,2020-10-08,3.587662,02
467,2020-10-09,2.9188373,02
468,2020-10-10,3.5952961,02
469,2020-10-11,1.9256598,02
470,2020-10-12,1.5590286,02
471,2020-10-13,-1.7246361,02
472,2020-10-14,-2.6587229,02
473,2020-10-15,-1.7877904,02
474,2020-10-16,-1.3011415,02
475,2020-10-17,-0.79182905,02
476,2020-10-18,1.5391225,02
477,2020-10-19,-1.7771269,02
478,2020-10-20,-0.57591784,02
479,2020-10-21,0.9205279,02
480,2020-10-22,1.1853001,02
481,2020-10-23,1.4743309,02
482,2020-10-24,2.1062334,02
483,2020-10-25,1.7606864,02
484,2020-10-26,3.2302067,02
485,2020-10-27,2.2983932,02
486,2020-10-28,4.442397,02
487,2020-10-29,4.1425214,02
488,2020-10-30,2.9272656,02
489,2020-10-31,0.65795225,02
490,2020-03-01,2.8042576,03
491,2020-03-02,2.3998518,03
492,2020-03-03,1.7491418,03
493,2020-03-04,1.271546,03
494,2020-03-05,3.8541636,03
495,2020-03-06,2.5997694,03
496,2020-03-07,1.6673887,03
497,2020-03-08,2.1613498,03
498,2020-03-09,3.1014287,03
499,2020-03-10,3.2530744,03
500,2020-03-11,2.4641237,03
501,2020-03-12,2.8587978,03
502,2020-03-13,1.3899047,03
503,2020-03-14,1.207169,03
504,2020-03-15,-0.47892407,03
505,2020-03-16,-0.990069,03
506,2020-03-17,-0.69142205,03
507,2020-03-18,-0.68012947,03
508,2020-03-19,-1.0468307,03
509,2020-03-20,-0.40565535,03
510,2020-03-21,-0.87203676,03
511,2020-03-22,-2.1441576,03
512,2020-03-23,-1.9513685,03
513,2020-03-24,-1.7420702,03
514,2020-03-25,-1.1454132,03
515,2020-03-26,-1.3129891,03
516,2020-03-27,0.39025882,03
517,2020-03-28,0.54297066,03
518,2020-03-29,-0.29621956,03
519,2020-03-30,-2.8533993,03
520,2020-03-31,-2.6632373,03
521,2020-04-01,-1.1398963,03
522,2020-04-02,0.58884704,03
523,2020-04-03,0.7511416,03
524,2020-04-04,-2.088125,03
525,2020-04-05,-0.8147423,03
526,2020-04-06,0.087991394,03
527,2020-04-07,-1.2738303,03
528,2020-04-08,-0.3303062,03
529,2020-04-09,-0.89866376,03
530,2020-04-10,-1.251686,03
531,2020-04-11,-0.38294828,03
532,2020-04-12,0.35417345,03
533,2020-04-13,-1.11191,03
534,2020-04-14,-2.1645162,03
535,2020-04-15,-1.648798,03
536,2020-04-16,-0.4056345,03
537,2020-04-17,0.25922546,03
538,2020-04-18,0.55550337,03
539,2020-04-19,-1.5600042,03
540,2020-04-20,0.27416864,03
541,2020-04-21,0.49081987,03
542,2020-04-22,1.4945493,03
543,2020-04-23,1.4786215,03
544,2020-04-24,0.496561,03
545,2020-04-25,-0.11148632,03
546,2020-04-26,-0.15265454,03
547,2020-04-27,-0.22165766,03
548,2020-04-28,2.8912659,03
549,2020-04-29,2.7113023,03
550,2020-04-30,3.195374,03
551,2020-05-01,2.9658046,03
552,2020-05-02,1.9070116,03
553,2020-05-03,1.0650492,03
554,2020-05-04,-1.5590639,03
555,2020-05-05,1.5469506,03
556,2020-05-06,0.23080641,03
557,2020-05-07,-1.6150521,03
558,2020-05-08,0.061438624,03
559,2020-05-09,0.08573384,03
560,2020-05-10,-0.87947226,03
561,2020-05-11,-1.4416177,03
562,2020-05-12,-2.0608928,03
563,2020-05-13,-1.7929362,03
564,2020-05-14,-2.2865217,03
565,2020-05-15,-0.9266434,03
566,2020-05-16,-0.464103,03
567,2020-05-17,0.18973236,03
568,2020-05-18,0.08930025,03
569,2020-05-19,0.20103116,03
570,2020-05-20,-0.9717659,03
571,2020-05-21,-0.81103444,03
572,2020-05-22,1.3167058,03
573,2020-05-23,1.8140006,03
574,2020-05-24,0.046628907,03
575,2020-05-25,-2.328968,03
576,2020-05-26,-1.9338348,03
577,2020-05-27,-1.6318294,03
578,2020-05-28,-1.3477395,03
579,2020-05-29,-2.1613445,03
580,2020-05-30,-1.8652658,03
581,2020-05-31,-2.0609715,03
582,2020-06-01,-1.124554,03
583,2020-06-02,0.0013333568,03
584,2020-06-03,1.1989447,03
585,2020-06-04,2.6022577,03
586,2020-06-05,3.6914086,03
587,2020-06-06,2.9227412,03
588,2020-06-07,1.5181856,03
589,2020-06-08,1.0397005,03
590,2020-06-09,1.0743991,03
591,2020-06-10,1.5363042,03
592,2020-06-11,-0.7639072,03
593,2020-06-12,-1.4206334,03
594,2020-06-13,1.3466253,03
595,2020-06-14,2.1517732,03
596,2020-06-15,1.9291133,03
597,2020-06-16,1.5504587,03
598,2020-06-17,2.1498888,03
599,2020-06-18,2.0103576,03
600,2020-06-19,1.9074941,03
601,2020-06-20,1.029618,03
602,2020-06-21,2.1125658,03
603,2020-06-22,-0.0013153816,03
604,2020-06-23,-1.8570457,03
605,2020-06-24,-1.4617467,03
606,2020-06-25,0.8140678,03
607,2020-06-26,1.0863733,03
608,2020-06-27,2.2228975,03
609,2020-06-28,2.017687,03
610,2020-06-29,2.6454678,03
611,2020-06-30,1.4505446,03
612,2020-07-01,1.6579823,03
613,2020-07-02,2.7736514,03
614,2020-07-03,1.7920135,03
615,2020-07-04,2.209435,03
616,2020-07-05,2.7485564,03
617,2020-07-06,1.6876944,03
618,2020-07-07,-0.0796357,03
619,2020-07-08,-0.20158546,03
620,2020-07-09,1.1215202,03
621,2020-07-10,2.385815,03
622,2020-07-11,-0.57166046,03
623,2020-07-12,-1.4908196,03
624,2020-07-13,0.25297916,03
625,2020-07-14,1.5554196,03
626,2020-07-15,2.2126827,03
627,2020-07-16,1.786454,03
628,2020-07-17,-0.042459935,03
629,2020-07-18,-0.40608928,03
630,2020-07-19,-0.7229653,03
631,2020-07-20,0.030383062,03
632,2020-07-21,-0.54799867,03
633,2020-07-22,0.49859098,03
634,2020-07-23,0.17709267,03
635,2020-07-24,1.7297096,03
636,2020-07-25,1.8591515,03
637,2020-07-26,2.7009995,03
638,2020-07-27,1.6513644,03
639,2020-07-28,2.4298263,03
640,2020-07-29,-0.3353999,03
641,2020-07-30,-1.2140591,03
642,2020-07-31,0.012939096,03
643,2020-08-01,2.131594,03
644,2020-08-02,1.9961898,03
645,2020-08-03,1.9710922,03
646,2020-08-04,0.42656195,03
647,2020-08-05,-1.3659164,03
648,2020-08-06,-1.6360323,03
649,2020-08-07,-1.5211866,03
650,2020-08-08,0.1431319,03
651,2020-08-09,0.65312624,03
652,2020-08-10,0.33748987,03
653,2020-08-11,-0.4315939,03
654,2020-08-12,-0.2477895,03
655,2020-08-13,1.2252483,03
656,2020-08-14,1.7782682,03
657,2020-08-15,-0.8078185,03
658,2020-08-16,1.3010718,03
659,2020-08-17,2.2823668,03
660,2020-08-18,1.4883323,03
661,2020-08-19,-0.097202085,03
662,2020-08-20,0.07748991,03
663,2020-08-21,1.3480263,03
664,2020-08-22,2.7208166,03
665,2020-08-23,2.3625793,03
666,2020-08-24,0.83563846,03
667,2020-08-25,1.8086976,03
668,2020-08-26,2.506579,03
669,2020-08-27,1.6804518,03
670,2020-08-28,2.9246583,03
671,2020-08-29,1.5152878,03
672,2020-08-30,2.088324,03
673,2020-08-31,0.61888546,03
674,2020-09-01,0.20691516,03
675,2020-09-02,0.90604246,03
676,2020-09-03,0.24479558,03
677,2020-09-04,0.48687014,03
678,2020-09-05,1.4058592,03
679,2020-09-06,0.4189713,03
680,2020-09-07,-0.43258926,03
681,2020-09-08,-0.7541531,03
682,2020-09-09,-0.36862907,03
683,2020-09-10,-0.23745568,03
684,2020-09-11,0.33759898,03
685,2020-09-12,0.57113487,03
686,2020-09-13,-1.601954,03
687,2020-09-14,-0.42737064,03
688,2020-09-15,0.25798675,03
689,2020-09-16,0.8137165,03
690,2020-09-17,-1.9363337,03
691,2020-09-18,-1.2624164,03
692,2020-09-19,-1.3128561,03
693,2020-09-20,0.010728095,03
694,2020-09-21,0.80472577,03
695,2020-09-22,1.2457305,03
696,2020-09-23,1.773688,03
697,2020-09-24,2.5729933,03
698,2020-09-25,4.3591623,03
699,2020-09-26,3.2580774,03
700,2020-09-27,4.474241,03
701,2020-09-28,3.100199,03
702,2020-09-29,0.6467858,03
703,2020-09-30,0.4001358,03
704,2020-10-01,1.4033108,03
705,2020-10-02,0.57779557,03
706,2020-10-03,1.4717864,03
707,2020-10-04,2.5533247,03
708,2020-10-05,3.4897985,03
709,2020-10-06,3.4708316,03
710,2020-10-07,2.9593954,03
711,2020-10-08,1.4992733,03
712,2020-10-09,1.5332459,03
713,2020-10-10,1.6275653,03
714,2020-10-11,1.7148162,03
715,2020-10-12,1.1477572,03
716,2020-10-13,0.50919616,03
717,2020-10-14,-0.41217566,03
718,2020-10-15,0.5019022,03
719,2020-10-16,0.71878815,03
720,2020-10-17,-0.2745211,03
721,2020-10-18,-1.0191809,03
722,2020-10-19,-1.6271731,03
723,2020-10-20,-0.62495375,03
724,2020-10-21,-0.51110476,03
725,2020-10-22,-0.20912282,03
726,2020-10-23,1.3309715,03
727,2020-10-24,1.7234488,03
728,2020-10-25,1.3864676,03
729,2020-10-26,2.6195889,03
730,2020-10-27,1.9249202,03
731,2020-10-28,2.8353915,03
732,2020-10-29,2.2350037,03
733,2020-10-30,-0.18659799,03
734,2020-10-31,0.5808694,03
735,2020-03-01,1.0626248,04
736,2020-03-02,0.55103374,04
737,2020-03-03,2.1825821,04
738,2020-03-04,0.81018585,04
739,2020-03-05,-0.082222335,04
740,2020-03-06,2.2110832,04
741,2020-03-07,0.44631463,04
742,2020-03-08,0.37368134,04
743,2020-03-09,1.4731108,04
744,2020-03-10,0.8081014,04
745,2020-03-11,0.45379367,04
746,2020-03-12,0.6665858,04
747,2020-03-13,0.9688233,04
748,2020-03-14,0.52981627,04
749,2020-03-15,-1.2613834,04
