,time,u10,v10,t2m,dep,tp
5976,2020-06-05,0.9768663,-2.1388996,285.7637,26,0.028490203
5977,2020-06-06,0.7691543,0.73603505,288.79895,26,0.01275411
5978,2020-06-07,0.12819766,-1.9869223,286.54697,26,0.26252326
5979,2020-06-08,0.72107506,-3.360915,285.5205,26,0.04330196
5980,2020-06-09,0.97140145,-3.392727,284.41803,26,0.17168845
5981,2020-06-10,0.5132831,-3.0973308,285.42712,26,0.048596773
5982,2020-06-11,-0.10087971,1.1356939,286.9855,26,0.008099957
5983,2020-06-12,-2.1484528,3.4652026,288.9738,26,0.05418765
5984,2020-06-13,0.079262875,0.28747424,287.0475,26,0.13070081
5985,2020-06-14,0.45314494,-3.1403065,287.4352,26,0.010619317
5986,2020-06-15,0.61979526,-3.2726343,288.3619,26,0.0014396679
5987,2020-06-16,0.5558339,-2.4539597,288.80112,26,0.008990103
5988,2020-06-17,0.73064446,-1.6659123,288.2119,26,0.010158767
5989,2020-06-18,0.6247041,-0.8307546,287.78668,26,0.024802819
5990,2020-06-19,0.26960632,-2.3119662,287.5706,26,0.0048362827
5991,2020-06-20,0.46538022,-2.9222453,288.7767,26,0.00015459275
5992,2020-06-21,0.46458197,-3.6126363,290.3124,26,1.9427616e-06
5993,2020-06-22,-0.110740095,-3.8466625,291.4157,26,0.00084657065
5994,2020-06-23,-0.061735686,-0.8375513,293.93655,26,0.0003160588
5995,2020-06-24,0.34748873,1.0092772,295.06088,26,0.0014099077
5996,2020-06-25,0.35739458,1.3555537,294.7377,26,0.00023159367
5997,2020-06-26,0.2832891,1.7663091,294.24216,26,0.0059071667
5998,2020-06-27,0.40747795,1.449097,294.33548,26,0.002452838
5999,2020-06-28,0.49658883,-0.5958342,294.37152,26,0.0043169265
6000,2020-06-29,0.35788152,-1.7301296,293.04913,26,0.0032025918
6001,2020-06-30,0.29599008,-1.498115,293.4712,26,0.00017642161
6002,2020-07-01,0.3751004,0.58963186,294.8397,26,0.0408202
6003,2020-07-02,0.18144055,-2.1115716,292.82675,26,0.041819587
6004,2020-07-03,0.41272163,-4.359183,289.82382,26,0.0052123363
6005,2020-07-04,0.13638164,-3.0086963,291.64175,26,8.5625165e-05
6006,2020-07-05,0.036375407,-2.8219805,294.11264,26,1.2489577e-05
6007,2020-07-06,0.45824027,-4.43465,292.1032,26,0.00025403642
6008,2020-07-07,0.06596544,-3.6232758,291.155,26,1.753716e-05
6009,2020-07-08,0.092369884,-1.3750167,293.5375,26,0.0002064714
6010,2020-07-09,0.429299,0.19757311,296.30698,26,3.9764895e-05
6011,2020-07-10,0.4392892,-0.20269857,295.56845,26,0.023918325
6012,2020-07-11,0.24537955,-3.7261078,292.5457,26,0.005402187
6013,2020-07-12,0.1890846,-1.6871123,292.939,26,0.0030889197
6014,2020-07-13,0.28674987,-1.7003994,293.99368,26,0.0019940012
6015,2020-07-14,0.3896669,-1.9921621,293.05148,26,0.00077454373
6016,2020-07-15,0.9377839,-2.1337953,291.35898,26,0.0038429897
6017,2020-07-16,0.17726022,-4.0214868,290.6684,26,0.0013162759
6018,2020-07-17,-0.0028879445,-4.426438,291.00232,26,0.00053604523
6019,2020-07-18,0.14656389,-2.8498614,292.79175,26,0.001791604
6020,2020-07-19,0.21850903,-0.9798692,294.42877,26,0.00029720494
6021,2020-07-20,0.56908566,0.67290705,296.01868,26,0.00028250893
6022,2020-07-21,0.5459656,0.7098217,296.02563,26,0.010028322
6023,2020-07-22,0.358711,-0.5387152,295.74335,26,0.015526392
6024,2020-07-23,0.46885434,-1.4278965,295.63876,26,0.001989193
6025,2020-07-24,0.4481075,-2.3712094,295.02512,26,0.000108061555
6026,2020-07-25,0.36581352,-0.72073144,295.02365,26,7.0197348e-06
6027,2020-07-26,0.49001265,-0.79627323,295.86148,26,0.00015435916
6028,2020-07-27,0.37760487,1.1596227,297.05142,26,1.3235702e-05
6029,2020-07-28,0.48223066,0.33216968,297.28503,26,0.015800014
6030,2020-07-29,0.17674965,-1.8157431,297.49927,26,0.003105618
6031,2020-07-30,-0.026121713,0.5672586,298.38596,26,0.013183184
6032,2020-07-31,0.27335107,1.2291666,299.63327,26,0.0036009217
6033,2020-08-01,0.31118038,-1.4014784,299.5572,26,0.0051249885
6034,2020-08-02,0.524455,-3.2340977,295.00308,26,0.00599424
6035,2020-08-03,0.8888261,-3.8992684,290.54227,26,0.00901897
6036,2020-08-04,0.45830548,-4.8437986,289.2385,26,0.003641546
6037,2020-08-05,0.13109808,-1.9218673,292.46317,26,0.000163943
6038,2020-08-06,0.11382374,-1.1141909,295.60666,26,0.0
6039,2020-08-07,0.46590576,0.5041808,297.51846,26,0.0
6040,2020-08-08,0.27755812,-0.2918062,298.66403,26,0.0
6041,2020-08-09,0.5258651,0.5485934,298.79062,26,0.0016313546
6042,2020-08-10,0.13350363,1.1274852,298.1221,26,0.010475594
6043,2020-08-11,0.04177593,0.5697307,297.73276,26,0.01673909
6044,2020-08-12,0.086261176,1.8923436,297.4468,26,0.0059162094
6045,2020-08-13,-0.15207662,1.1673447,294.64407,26,0.07453879
6046,2020-08-14,0.17311871,-1.7315637,294.1028,26,0.011208001
6047,2020-08-15,0.13785578,-0.75378793,295.3325,26,3.5278015e-05
6048,2020-08-16,0.013519495,0.8972845,293.63382,26,0.044967618
6049,2020-08-17,0.47562614,-0.8359427,292.81937,26,0.024158731
6050,2020-08-18,0.45043883,-1.4011946,293.4828,26,0.0012092714
6051,2020-08-19,0.31575242,0.7351976,294.81094,26,7.588732e-05
6052,2020-08-20,0.13656922,2.148796,295.68195,26,3.2961256e-05
6053,2020-08-21,0.2667761,2.0054924,296.6435,26,3.285706e-06
6054,2020-08-22,0.19762455,-2.4574234,295.07236,26,0.00040623802
6055,2020-08-23,0.58200485,-4.178192,292.06332,26,0.00017892571
6056,2020-08-24,0.2136647,-3.6794767,291.7573,26,3.6368794e-05
6057,2020-08-25,0.25811818,0.59031385,294.00443,26,1.6197563e-06
6058,2020-08-26,0.25766772,-1.6415964,295.29965,26,0.0
6059,2020-08-27,0.1716113,-1.5432873,294.75638,26,0.0
6060,2020-08-28,0.08791304,0.40538374,292.32498,26,0.14860861
6061,2020-08-29,-0.04014625,-1.6054196,288.57162,26,0.26916084
6062,2020-08-30,0.6240993,-2.6135776,286.99673,26,0.11662048
6063,2020-08-31,0.42577854,-3.4308846,287.347,26,0.0066197454
6064,2020-09-01,0.13320172,-2.7620194,287.8983,26,0.00010892918
6065,2020-09-02,0.029044582,-2.346908,288.5671,26,4.2884026e-06
6066,2020-09-03,-0.09458225,-1.6835526,290.04214,26,1.9233191e-07
6067,2020-09-04,0.07285104,1.1141728,292.1437,26,0.0
6068,2020-09-05,0.31049523,0.07259554,292.50223,26,2.0721307e-05
6069,2020-09-06,0.22437143,-3.2819927,289.28564,26,5.3244265e-05
6070,2020-09-07,-0.05905469,-3.544781,288.71634,26,0.0028934171
6071,2020-09-08,-0.33097628,-1.5163549,290.996,26,0.0007415889
6072,2020-09-09,-0.3231641,-0.20551698,291.12857,26,0.03963136
6073,2020-09-10,-0.23134191,-1.0851059,291.3087,26,0.016833322
6074,2020-09-11,-0.30110028,-1.6080947,291.9767,26,0.012687017
6075,2020-09-12,-0.20454621,-1.7796742,293.39053,26,0.0033006303
6076,2020-09-13,-0.16582297,-0.13371211,294.2272,26,0.0016205314
6077,2020-09-14,-0.036574397,0.9761693,294.50134,26,0.004463444
6078,2020-09-15,0.02317477,0.6144392,293.84207,26,0.0036870271
6079,2020-09-16,-0.13088952,-1.1377462,294.0297,26,0.0025745148
6080,2020-09-17,-0.501434,-0.16646366,293.53403,26,0.010488567
6081,2020-09-18,-0.4190422,1.7018572,293.8245,26,0.0021986787
6082,2020-09-19,-0.6676635,1.7714486,293.0487,26,0.013966545
6083,2020-09-20,-0.00911139,0.07607382,290.8502,26,0.08454492
6084,2020-09-21,0.23379873,0.07014188,290.23764,26,0.03652152
6085,2020-09-22,-0.08862955,1.1101395,288.43002,26,0.064023286
6086,2020-09-23,0.3153898,0.80578536,289.35657,26,0.019921245
6087,2020-09-24,0.008601111,1.0062363,288.36798,26,0.09459483
6088,2020-09-25,1.8852214,-1.7876081,282.55713,26,0.10874501
6089,2020-09-26,0.96944904,-3.212715,279.97092,26,0.048534337
6090,2020-09-27,0.41956398,-2.0878024,279.3338,26,0.04115707
6091,2020-09-28,0.5198957,-2.2691634,282.52386,26,0.03345494
6092,2020-09-29,0.13008705,-2.344918,284.98953,26,0.0020094851
6093,2020-09-30,-0.012988518,0.31682628,285.94803,26,6.1799925e-05
6094,2020-10-01,-0.13253926,0.89115995,285.97043,26,0.012230128
6095,2020-10-02,-0.68853164,2.7589977,285.54376,26,0.38925543
6096,2020-10-03,-0.2210362,2.8943796,281.45328,26,0.12333712
6097,2020-10-04,-0.36408615,1.795535,281.8117,26,0.09045855
6098,2020-10-05,0.3016269,0.51673704,281.92252,26,0.017020553
6099,2020-10-06,-0.324654,1.2627192,282.8586,26,0.06537057
6100,2020-10-07,0.41026673,-2.5071273,283.83334,26,0.032895952
6101,2020-10-08,-0.071039565,-0.7733143,285.7889,26,0.001188314
6102,2020-10-09,-0.027051479,0.28042397,286.14484,26,0.00017365003
6103,2020-10-10,0.25411665,-2.7927036,283.73206,26,0.0032940798
6104,2020-10-11,0.8631404,-4.7877383,280.0879,26,0.010486312
6105,2020-10-12,0.32966915,-4.5341606,279.68076,26,0.0035939424
